#,"What country do you currently call home?","Not including where you currently live, what country would you like to call home?","Including where you currently live, what country would you like to call home?","Start Date (UTC)","Submit Date (UTC)","Network ID"
b65daa16c77cd371a52c4f92e3f9b895,"United States",Iceland,"United States","2016-06-06 19:28:53","2016-06-06 19:30:41",fc5c6399c2
ccd9676b2fd0d8cd81554530b682dec4,"United States","United Kingdom","United States","2016-06-06 19:45:45","2016-06-06 19:46:41",42cf834840
b1d020b6930cf6970b82b190dc17f350,Canada,"United Kingdom",,"2016-06-06 20:10:09","2016-06-06 20:11:04",fcb25e5902
cc5ccca9717d7f8119913b3c4a75efda,Hungary,Sweden,Sweden,"2016-06-06 20:15:46","2016-06-06 20:17:13",d39b693885
105d207c3d7ed8fed712a08f241f6e42,"United States","United Kingdom",Zimbabwe,"2016-06-06 20:25:54","2016-06-06 20:26:31",5335107bf1
2a29c9e31dc6477e587903f8ea46b49a,"United States",Canada,Canada,"2016-06-06 20:33:55","2016-06-06 20:34:32",6ba7c8232a
5f258b6a2e540087ab9b3e52c74b2148,"United States",Canada,"United States","2016-06-06 20:54:05","2016-06-06 20:54:51",73aeb7ea8d
f4519012341d464c72930ac7120d12d0,Canada,Japan,Canada,"2016-06-06 21:18:26","2016-06-06 21:19:12",f1cc5ad578
f196f240b706db75df4716c8fc0b2620,"United States",Canada,"United States","2016-06-06 21:26:39","2016-06-06 21:27:20",056e3e0c3d
ce9113eb71a5f18488aaa064a5db9a79,"United States",Israel,Israel,"2016-06-06 21:32:14","2016-06-06 21:32:59",288c97f236
def7a525a6ff6ffdaa9be7811018c4ac,Netherlands,Australia,Netherlands,"2016-06-06 21:57:41","2016-06-06 21:58:49",5f71a1b95e
8884cf90f057be34d967c03ec009dd5e,"United States",Switzerland,Switzerland,"2016-06-06 22:16:02","2016-06-06 22:16:40",c1b570af1e
f276604eb5a73d106c415b757bfad0ac,"United States",Canada,"United States","2016-06-06 22:17:43","2016-06-06 22:18:13",a8e5714e70
0b0f08c7245187e94f1ab98bee527566,"United Kingdom",Ireland,"United Kingdom","2016-06-06 22:20:20","2016-06-06 22:20:57",fa503f4288
9feaa1c4f340f469cad2ea493d489b82,"United Kingdom","New Zealand",Japan,"2016-06-06 22:37:41","2016-06-06 22:39:49",10082aca35
db390c3578a0b806d909e3ae78fe3c99,Canada,Spain,Germany,"2016-06-06 22:38:36","2016-06-06 22:39:49",667a2df186
